Category,City,Country,Customer ID,Customer Name,Market,Order Date,Order ID,Order Priority,Postal Code,Product ID,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales,Shipping Cost
Office Supplies,Carrefour,Haiti,AC-1066054,Anna Chung,LATAM,12/29/2015,US-2015-AC1066054-42367,Medium,,OFF-EN-5030,"Kraft Interoffice Envelope, Security-Tint",Caribbean,Consumer,1/4/2016,Standard Class,Ouest,Envelopes,0.4,3.256,2,39.456,2.338
Furniture,Carrefour,Haiti,AC-1066054,Anna Chung,LATAM,12/29/2015,US-2015-AC1066054-42367,Medium,,FUR-TA-5056,"Lesro Computer Table, with Bottom Storage",Caribbean,Consumer,1/4/2016,Standard Class,Ouest,Tables,0.7,-327.228,2,172.212,2.036
Office Supplies,Pinar del Río,Cuba,RB-1946531,Rick Bensley,LATAM,12/29/2015,MX-2015-RB1946531-42367,Medium,,OFF-AR-3548,"Boston Pens, Fluorescent",Caribbean,Home Office,1/4/2016,Standard Class,Pinar del Río,Art,0,7.84,2,20.64,1.428
Office Supplies,Carrefour,Haiti,AC-1066054,Anna Chung,LATAM,12/29/2015,US-2015-AC1066054-42367,Medium,,OFF-ST-4269,"Fellowes Lockers, Wire Frame",Caribbean,Consumer,1/4/2016,Standard Class,Ouest,Storage,0.4,16.5,3,247.68,1.332
Office Supplies,Reynosa,Mexico,JB-1604582,Julia Barnett,LATAM,12/31/2015,MX-2015-JB1604582-42369,Medium,,OFF-LA-5388,"Novimex Legal Exhibit Labels, Adjustable",Central America,Home Office,1/4/2016,Standard Class,Tamaulipas,Labels,0,0.66,3,16.74,1.324
Technology,São Paulo,Brazil,EB-1397518,Erica Bern,LATAM,12/31/2015,MX-2015-EB1397518-42369,High,,TEC-CO-3707,"Canon Wireless Fax, Color",South America,Corporate,1/3/2016,Second Class,São Paulo,Copiers,0.002,301.466,5,1264.466,253.254
Furniture,Castanhal,Brazil,JF-1556518,Jill Fjeld,LATAM,12/30/2015,MX-2015-JF1556518-42368,High,,FUR-BO-5786,"Safco Library with Doors, Mobile",South America,Consumer,1/3/2016,Standard Class,Pará,Bookcases,0,768.88,7,1830.78,155.854
Furniture,São Paulo,Brazil,EB-1397518,Erica Bern,LATAM,12/31/2015,MX-2015-EB1397518-42369,High,,FUR-CH-5411,"Novimex Swivel Stool, Adjustable",South America,Corporate,1/3/2016,Second Class,São Paulo,Chairs,0,0,3,333.9,51.527
Furniture,San Salvador,El Salvador,KB-1660039,Ken Brennan,LATAM,12/30/2015,MX-2015-KB1660039-42368,High,,FUR-BO-3894,"Dania Corner Shelving, Mobile",Central America,Corporate,1/3/2016,Standard Class,San Salvador,Bookcases,0,44.84,2,166.12,18.643
Furniture,Santiago,Chile,VG-2180526,Vivek Grady,LATAM,12/29/2015,MX-2015-VG2180526-42367,High,,FUR-FU-6277,"Tenex Stacking Tray, Durable",South America,Corporate,1/3/2016,Standard Class,Santiago,Furnishings,0,22.26,7,117.74,18.027
Furniture,Tijuana,Mexico,EB-1397582,Erica Bern,LATAM,12/30/2015,MX-2015-EB1397582-42368,Medium,,FUR-FU-6256,"Tenex Frame, Erganomic",Central America,Corporate,1/3/2016,Standard Class,Baja California,Furnishings,0.4,25.3,5,217.2,16.432
Furniture,León,Nicaragua,TC-2153593,Tracy Collins,LATAM,12/28/2015,MX-2015-TC2153593-42366,Low,,FUR-CH-4630,"Hon Chairmat, Adjustable",Central America,Home Office,1/3/2016,Standard Class,León,Chairs,0,26.64,3,116.04,13.689
Office Supplies,Ciego de Ávila,Cuba,JB-1600031,Joy Bell-,LATAM,12/30/2015,MX-2015-JB1600031-42368,Medium,,OFF-SU-4120,"Elite Letter Opener, Easy Grip",Caribbean,Consumer,1/3/2016,Standard Class,Ciego de Ávila,Supplies,0,29.34,9,173.52,13.465
Technology,León,Nicaragua,TC-2153593,Tracy Collins,LATAM,12/28/2015,MX-2015-TC2153593-42366,Low,,TEC-AC-5133,"Logitech Numeric Keypad, USB",Central America,Home Office,1/3/2016,Standard Class,León,Accessories,0,0,4,124.08,12.186
Furniture,Melchor Ocampo,Mexico,LC-1696082,Lindsay Castell,LATAM,12/29/2015,MX-2015-LC1696082-42367,High,,FUR-BO-4859,"Ikea Floating Shelf Set, Traditional",Central America,Home Office,1/3/2016,Standard Class,México,Bookcases,0.2,9.068,1,90.848,9.542
Technology,São Paulo,Brazil,EB-1397518,Erica Bern,LATAM,12/31/2015,MX-2015-EB1397518-42369,High,,TEC-AC-4164,"Enermax Memory Card, Erganomic",South America,Corporate,1/3/2016,Second Class,São Paulo,Accessories,0,28.42,1,74.8,7.312
Office Supplies,São Paulo,Brazil,EB-1397518,Erica Bern,LATAM,12/31/2015,MX-2015-EB1397518-42369,High,,OFF-BI-3187,"Avery 3-Hole Punch, Durable",South America,Corporate,1/3/2016,Second Class,São Paulo,Binders,0,16.44,3,58.74,6.336
Office Supplies,São Paulo,Brazil,EB-1397518,Erica Bern,LATAM,12/31/2015,MX-2015-EB1397518-42369,High,,OFF-EN-3655,"Cameo Business Envelopes, Security-Tint",South America,Corporate,1/3/2016,Second Class,São Paulo,Envelopes,0,7.44,2,22.6,4.164
Office Supplies,Castanhal,Brazil,JF-1556518,Jill Fjeld,LATAM,12/30/2015,MX-2015-JF1556518-42368,High,,OFF-FA-3020,"Advantus Clamps, Assorted Sizes",South America,Consumer,1/3/2016,Standard Class,Pará,Fasteners,0,3.52,4,44.64,4.114
Office Supplies,Tijuana,Mexico,EB-1397582,Erica Bern,LATAM,12/30/2015,MX-2015-EB1397582-42368,Medium,,OFF-FA-2944,"Accos Paper Clips, Assorted Sizes",Central America,Corporate,1/3/2016,Standard Class,Baja California,Fasteners,0,0,5,38.3,1.968
Office Supplies,Santiago de los Caballeros,Dominican Republic,TT-2126536,Tim Taslimi,LATAM,12/30/2015,US-2015-TT2126536-42368,High,,OFF-BI-2882,"Acco 3-Hole Punch, Durable",Caribbean,Corporate,1/3/2016,Standard Class,Santiago,Binders,0.2,-1.056,1,16.864,1.965
Office Supplies,Itajaí,Brazil,AR-1057018,Anemone Ratner,LATAM,12/29/2015,MX-2015-AR1057018-42367,Medium,,OFF-ST-6033,"Smead File Cart, Single Width",South America,Consumer,1/2/2016,Standard Class,Santa Catarina,Storage,0,163.2,5,429.6,41.97
Office Supplies,Chaguanas,Trinidad and Tobago,TC-21535132,Tracy Collins,LATAM,12/31/2015,MX-2015-TC21535132-42369,Medium,,OFF-AP-3858,"Cuisinart Blender, Silver",Caribbean,Home Office,1/2/2016,First Class,Chaguanas,Appliances,0,17.58,3,135.48,10.925
Office Supplies,Itajaí,Brazil,AR-1057018,Anemone Ratner,LATAM,12/29/2015,MX-2015-AR1057018-42367,Medium,,OFF-EN-5044,"Kraft Peel and Seal, with clear poly window",South America,Consumer,1/2/2016,Standard Class,Santa Catarina,Envelopes,0,38.08,7,112.14,6.332
Technology,Managua,Nicaragua,CM-1219093,Charlotte Melton,LATAM,12/31/2015,MX-2015-CM1219093-42369,Medium,,TEC-PH-5346,"Nokia Office Telephone, Cordless",Central America,Consumer,1/2/2016,Second Class,Managua,Phones,0,10.86,3,135.96,6.003
Office Supplies,Managua,Nicaragua,CM-1219093,Charlotte Melton,LATAM,12/31/2015,MX-2015-CM1219093-42369,Medium,,OFF-SU-4982,"Kleencut Ruler, High Speed",Central America,Consumer,1/2/2016,Second Class,Managua,Supplies,0,6.4,8,72.32,5.639
Furniture,Santo Domingo,Dominican Republic,DB-1291036,Daniel Byrd,LATAM,12/29/2015,MX-2015-DB1291036-42367,High,,FUR-FU-5734,"Rubbermaid Light Bulb, Erganomic",Caribbean,Home Office,1/2/2016,Standard Class,Santo Domingo,Furnishings,0.5,-12.6,6,34.92,4.317
Office Supplies,Durango,Mexico,SC-2026082,Scott Cohen,LATAM,12/31/2015,MX-2015-SC2026082-42369,High,,OFF-LA-3310,"Avery Removable Labels, 5000 Label Set",Central America,Corporate,1/2/2016,Second Class,Durango,Labels,0,3.96,3,22.26,2.274
Office Supplies,Santo Domingo,Dominican Republic,DB-1291036,Daniel Byrd,LATAM,12/29/2015,MX-2015-DB1291036-42367,High,,OFF-FA-5487,"OIC Thumb Tacks, Metal",Caribbean,Home Office,1/2/2016,Standard Class,Santo Domingo,Fasteners,0.2,0.936000000,2,15.136,1.973
Office Supplies,Itajaí,Brazil,AR-1057018,Anemone Ratner,LATAM,12/29/2015,MX-2015-AR1057018-42367,Medium,,OFF-EN-4921,"Jiffy Manila Envelope, with clear poly window",South America,Consumer,1/2/2016,Standard Class,Santa Catarina,Envelopes,0,9.84,1,19.7,1.796
Office Supplies,San Salvador,El Salvador,KM-1637539,Katherine Murray,LATAM,12/29/2015,MX-2015-KM1637539-42367,Medium,,OFF-ST-6023,"Smead Box, Blue",Central America,Home Office,1/2/2016,Standard Class,San Salvador,Storage,0,5.72,2,14.36,1.457
Office Supplies,Managua,Nicaragua,CM-1219093,Charlotte Melton,LATAM,12/31/2015,MX-2015-CM1219093-42369,Medium,,OFF-LA-4637,"Hon Color Coded Labels, 5000 Label Set",Central America,Consumer,1/2/2016,Second Class,Managua,Labels,0,12.36,3,26.4,1.35
Office Supplies,Itajaí,Brazil,AR-1057018,Anemone Ratner,LATAM,12/29/2015,MX-2015-AR1057018-42367,Medium,,OFF-LA-3272,"Avery File Folder Labels, Adjustable",South America,Consumer,1/2/2016,Standard Class,Santa Catarina,Labels,0,6.42,3,14.04,1.206
Technology,Managua,Nicaragua,HG-1502593,Hunter Glantz,LATAM,12/25/2015,MX-2015-HG1502593-42363,Medium,,TEC-CO-4789,"HP Wireless Fax, Color",Central America,Consumer,1/1/2016,Standard Class,Managua,Copiers,0.002,335.5912,4,962.4712,86.105
Office Supplies,Morelia,Mexico,AG-1030082,Aleksandra Gannaway,LATAM,12/29/2015,MX-2015-AG1030082-42367,Medium,,OFF-EN-5030,"Kraft Interoffice Envelope, Security-Tint",Central America,Corporate,1/1/2016,First Class,Michoacán,Envelopes,0,147.8,10,328.8,58.451
Technology,Santo Domingo,Dominican Republic,JS-1559536,Jill Stevenson,LATAM,12/26/2015,US-2015-JS1559536-42364,Low,,TEC-PH-5271,"Motorola Speaker Phone, Full Size",Caribbean,Corporate,1/1/2016,Standard Class,Santo Domingo,Phones,0.2,-78.68,5,349.52,31.384
Technology,Valles,Mexico,CK-1220582,Chloris Kastensmidt,LATAM,12/27/2015,MX-2015-CK1220582-42365,High,,TEC-CO-4787,"HP Personal Copier, Laser",Central America,Consumer,1/1/2016,Standard Class,San Luis Potosí,Copiers,0.002,108.82284,3,248.08284,12.73
Office Supplies,Valles,Mexico,CK-1220582,Chloris Kastensmidt,LATAM,12/27/2015,MX-2015-CK1220582-42365,High,,OFF-FA-2955,"Accos Staples, 12 Pack",Central America,Consumer,1/1/2016,Standard Class,San Luis Potosí,Fasteners,0,25.44,8,55.36,8.42
Technology,Managua,Nicaragua,HG-1502593,Hunter Glantz,LATAM,12/25/2015,MX-2015-HG1502593-42363,Medium,,TEC-AC-5194,"Memorex Flash Drive, Erganomic",Central America,Consumer,1/1/2016,Standard Class,Managua,Accessories,0,25.36,4,72.56,6.244
Office Supplies,Torreón,Mexico,GP-1474082,Guy Phonely,LATAM,12/30/2015,MX-2015-GP1474082-42368,Medium,,OFF-PA-4463,"Green Bar Cards & Envelopes, Premium",Central America,Corporate,1/1/2016,Second Class,Coahuila,Paper,0,6.4,5,161.3,4.88
Office Supplies,Morelia,Mexico,AG-1030082,Aleksandra Gannaway,LATAM,12/29/2015,MX-2015-AG1030082-42367,Medium,,OFF-FA-6190,"Stockwell Paper Clips, Bulk Pack",Central America,Corporate,1/1/2016,First Class,Michoacán,Fasteners,0,10.32,6,54.48,2.958
Office Supplies,Managua,Nicaragua,HG-1502593,Hunter Glantz,LATAM,12/25/2015,MX-2015-HG1502593-42363,Medium,,OFF-PA-6613,"Xerox Message Books, 8.5 x 11",Central America,Consumer,1/1/2016,Standard Class,Managua,Paper,0,5.88,2,32.68,1.794
Technology,Carrefour,Haiti,SG-2008054,Sandra Glassco,LATAM,12/28/2015,US-2015-SG2008054-42366,Medium,,TEC-AC-5882,"SanDisk Mouse, Programmable",Caribbean,Consumer,1/1/2016,Standard Class,Ouest,Accessories,0.4,-6.392,2,31.848,1.109
Furniture,Jamundí,Colombia,FH-1427528,Frank Hawley,LATAM,12/27/2015,US-2015-FH1427528-42365,High,,FUR-TA-3354,"Barricks Training Table, Rectangular",South America,Corporate,12/31/2015,Standard Class,Valle del Cauca,Tables,0.2,-200.08,5,842.32,120.113
Office Supplies,Victoria,Mexico,DK-1337582,Dennis Kane,LATAM,12/27/2015,MX-2015-DK1337582-42365,High,,OFF-AP-3566,"Breville Coffee Grinder, Black",Central America,Consumer,12/31/2015,Standard Class,Tamaulipas,Appliances,0,28.6,5,204.3,47.965
Office Supplies,Managua,Nicaragua,RB-1946593,Rick Bensley,LATAM,12/31/2015,MX-2015-RB1946593-42369,Critical,,OFF-PA-3989,"Eaton Cards & Envelopes, Recycled",Central America,Home Office,12/31/2015,Same Day,Managua,Paper,0,30,4,120.24,43.347
Furniture,Managua,Nicaragua,RB-1946593,Rick Bensley,LATAM,12/31/2015,MX-2015-RB1946593-42369,Critical,,FUR-CH-5373,"Novimex Chairmat, Set of Two",Central America,Home Office,12/31/2015,Same Day,Managua,Chairs,0,35.92,2,78.12,25.159
Office Supplies,Puerto La Cruz,Venezuela,DP-13165143,David Philippe,LATAM,12/24/2015,US-2015-DP13165143-42362,Medium,,OFF-ST-5708,"Rogers Shelving, Wire Frame",South America,Consumer,12/31/2015,Standard Class,Anzoátegui,Storage,0.4,-34.3,7,171.36,15.858
Office Supplies,Victoria,Mexico,DK-1337582,Dennis Kane,LATAM,12/27/2015,MX-2015-DK1337582-42365,High,,OFF-BI-6383,"Wilson Jones Binding Machine, Durable",Central America,Consumer,12/31/2015,Standard Class,Tamaulipas,Binders,0,6.04,2,67.28,9.203
Office Supplies,Jamundí,Colombia,FH-1427528,Frank Hawley,LATAM,12/27/2015,US-2015-FH1427528-42365,High,,OFF-SU-4311,"Fiskars Ruler, Easy Grip",South America,Corporate,12/31/2015,Standard Class,Valle del Cauca,Supplies,0,10.7,5,53.5,8.136
Office Supplies,Mexico City,Mexico,DR-1288082,Dan Reichenbach,LATAM,12/25/2015,MX-2015-DR1288082-42363,Medium,,OFF-PA-4477,"Green Bar Message Books, Recycled",Central America,Corporate,12/31/2015,Standard Class,Distrito Federal,Paper,0,22.26,3,47.4,4.391
Technology,Puerto La Cruz,Venezuela,DP-13165143,David Philippe,LATAM,12/24/2015,US-2015-DP13165143-42362,Medium,,TEC-AC-5862,"SanDisk Flash Drive, Programmable",South America,Consumer,12/31/2015,Standard Class,Anzoátegui,Accessories,0.4,-8.232000000,3,49.248,4.267
Office Supplies,Salina Cruz,Mexico,MG-1814582,Mike Gockenbach,LATAM,12/29/2015,MX-2015-MG1814582-42367,Critical,,OFF-LA-3273,"Avery File Folder Labels, Alphabetical",Central America,Consumer,12/31/2015,Second Class,Oaxaca,Labels,0,4.16,2,11.92,3.39
Office Supplies,Puerto La Cruz,Venezuela,DP-13165143,David Philippe,LATAM,12/24/2015,US-2015-DP13165143-42362,Medium,,OFF-ST-4296,"Fellowes Trays, Wire Frame",South America,Consumer,12/31/2015,Standard Class,Anzoátegui,Storage,0.4,-21.832,2,45.168,3.11
Office Supplies,Puerto La Cruz,Venezuela,DP-13165143,David Philippe,LATAM,12/24/2015,US-2015-DP13165143-42362,Medium,,OFF-EN-4453,"GlobeWeis Peel and Seal, Set of 50",South America,Consumer,12/31/2015,Standard Class,Anzoátegui,Envelopes,0.4,8.932,7,59.892,2.569
Office Supplies,Managua,Nicaragua,RB-1946593,Rick Bensley,LATAM,12/31/2015,MX-2015-RB1946593-42369,Critical,,OFF-ST-6024,"Smead Box, Industrial",Central America,Home Office,12/31/2015,Same Day,Managua,Storage,0,1.2,2,15,2.338
Office Supplies,Rosario,Argentina,BF-112755,Beth Fritzler,LATAM,12/25/2015,US-2015-BF112755-42363,Medium,,OFF-AR-3537,"Boston Markers, Blue",South America,Corporate,12/31/2015,Standard Class,Santa Fe,Art,0.4,-12.36,5,52.74,2.245
Office Supplies,Jamundí,Colombia,FH-1427528,Frank Hawley,LATAM,12/27/2015,US-2015-FH1427528-42365,High,,OFF-BI-3739,"Cardinal Index Tab, Economy",South America,Corporate,12/31/2015,Standard Class,Valle del Cauca,Binders,0,3.72,2,11.68,1.754
Office Supplies,Santiago,Chile,SC-2072526,Steven Cartwright,LATAM,12/24/2015,MX-2015-SC2072526-42362,Low,,OFF-BI-6405,"Wilson Jones Index Tab, Recycled",South America,Consumer,12/31/2015,Standard Class,Santiago,Binders,0,4.32,2,9.08,1.512
Office Supplies,Pirapora,Brazil,DR-1288018,Dan Reichenbach,LATAM,12/25/2015,US-2015-DR1288018-42363,Medium,,OFF-PA-4477,"Green Bar Message Books, Recycled",South America,Corporate,12/31/2015,Standard Class,Minas Gerais,Paper,0.6,-6.18,3,18.96,1.432
Furniture,Soyapango,El Salvador,KB-1624039,Karen Bern,LATAM,12/26/2015,MX-2015-KB1624039-42364,Medium,,FUR-BO-5967,"Sauder Library with Doors, Mobile",Central America,Corporate,12/30/2015,Standard Class,San Salvador,Bookcases,0,436.94,7,1820.7,114.605
Technology,Choluteca,Honduras,BD-1172555,Bruce Degenhardt,LATAM,12/27/2015,US-2015-BD1172555-42365,Medium,,TEC-CO-3599,"Brother Ink, Color",Central America,Consumer,12/30/2015,Second Class,Choluteca,Copiers,0.402,-73.280880000,9,533.67912,61.265
Furniture,Santo Domingo,Dominican Republic,AB-1025536,Alejandro Ballentine,LATAM,12/26/2015,US-2015-AB1025536-42364,Medium,,FUR-CH-5379,"Novimex Executive Leather Armchair, Black",Caribbean,Home Office,12/30/2015,Second Class,Santo Domingo,Chairs,0.2,174,3,732.72,52.486
Technology,David,Panama,MG-1787598,Michael Grace,LATAM,12/26/2015,US-2015-MG1787598-42364,Medium,,TEC-AC-3403,"Belkin Router, Erganomic",Central America,Home Office,12/30/2015,Standard Class,Chiriquí,Accessories,0.4,-342.08,5,513.12,31.687
Technology,Santo Domingo,Dominican Republic,AB-1025536,Alejandro Ballentine,LATAM,12/26/2015,US-2015-AB1025536-42364,Medium,,TEC-AC-5225,"Memorex Router, Programmable",Caribbean,Home Office,12/30/2015,Second Class,Santo Domingo,Accessories,0.2,-0.024000000,3,396.336,28.261
Technology,Choluteca,Honduras,BD-1172555,Bruce Degenhardt,LATAM,12/27/2015,US-2015-BD1172555-42365,Medium,,TEC-PH-3128,"Apple Audio Dock, Full Size",Central America,Consumer,12/30/2015,Second Class,Choluteca,Phones,0.4,-130.112,4,269.088,18.984
Furniture,Guadalajara,Mexico,BD-1132082,Bill Donatelli,LATAM,12/26/2015,US-2015-BD1132082-42364,Medium,,FUR-BO-5745,"Safco 3-Shelf Cabinet, Metal",Central America,Consumer,12/30/2015,Standard Class,Jalisco,Bookcases,0.2,-40.44,3,269.28,14.338
Furniture,Choluteca,Honduras,BD-1172555,Bruce Degenhardt,LATAM,12/27/2015,US-2015-BD1172555-42365,Medium,,FUR-BO-3887,"Dania 3-Shelf Cabinet, Pine",Central America,Consumer,12/30/2015,Second Class,Choluteca,Bookcases,0.4,-95.2,4,228.48,11.686
Office Supplies,Soyapango,El Salvador,KB-1624039,Karen Bern,LATAM,12/26/2015,MX-2015-KB1624039-42364,Medium,,OFF-AP-4719,"Hoover Blender, Black",Central America,Corporate,12/30/2015,Standard Class,San Salvador,Appliances,0,33.48,2,128.8,11.153
Office Supplies,San Salvador,El Salvador,BM-1114039,Becky Martin,LATAM,12/23/2015,MX-2015-BM1114039-42361,Medium,,OFF-EN-4920,"Jiffy Manila Envelope, Set of 50",Central America,Consumer,12/30/2015,Standard Class,San Salvador,Envelopes,0,35.5,5,86.7,8.429
Office Supplies,Las Tunas,Cuba,JG-1580531,John Grady,LATAM,12/26/2015,MX-2015-JG1580531-42364,High,,OFF-AR-6121,"Stanley Pens, Blue",Caribbean,Corporate,12/30/2015,Second Class,Las Tunas,Art,0,6.7,5,33.5,7.995
Office Supplies,Jacobina,Brazil,BM-1114018,Becky Martin,LATAM,12/23/2015,US-2015-BM1114018-42361,Low,,OFF-EN-4920,"Jiffy Manila Envelope, Set of 50",South America,Consumer,12/30/2015,Standard Class,Bahia,Envelopes,0.6,-16.52,5,34.68,4.615
Office Supplies,Soyapango,El Salvador,KB-1624039,Karen Bern,LATAM,12/26/2015,MX-2015-KB1624039-42364,Medium,,OFF-EN-4432,"GlobeWeis Business Envelopes, Security-Tint",Central America,Corporate,12/30/2015,Standard Class,San Salvador,Envelopes,0,22.56,4,52.64,3.698
Office Supplies,San José de las Lajas,Cuba,MC-1763531,Matthew Clasen,LATAM,12/26/2015,MX-2015-MC1763531-42364,Medium,,OFF-PA-6620,"Xerox Note Cards, Recycled",Caribbean,Corporate,12/30/2015,Standard Class,Mayabeque,Paper,0,8.4,2,35.04,2.905
Office Supplies,Santa Ana,El Salvador,SC-2084539,Sung Chung,LATAM,12/23/2015,MX-2015-SC2084539-42361,Medium,,OFF-LA-4542,"Harbour Creations Removable Labels, Adjustable",Central America,Consumer,12/30/2015,Standard Class,Santa Ana,Labels,0,5.44,4,28.64,2.236
Office Supplies,Choluteca,Honduras,BD-1172555,Bruce Degenhardt,LATAM,12/27/2015,US-2015-BD1172555-42365,Medium,,OFF-BI-3720,"Cardinal Binder, Clear",Central America,Consumer,12/30/2015,Second Class,Choluteca,Binders,0.4,-6.912,3,15.948,1.838
Office Supplies,David,Panama,MG-1787598,Michael Grace,LATAM,12/26/2015,US-2015-MG1787598-42364,Medium,,OFF-LA-3273,"Avery File Folder Labels, Alphabetical",Central America,Home Office,12/30/2015,Standard Class,Chiriquí,Labels,0.4,-0.912,3,10.728,1.44
Office Supplies,David,Panama,MG-1787598,Michael Grace,LATAM,12/26/2015,US-2015-MG1787598-42364,Medium,,OFF-FA-5470,"OIC Paper Clips, Metal",Central America,Home Office,12/30/2015,Standard Class,Chiriquí,Fasteners,0.4,-3.72,2,11.64,1.207
Furniture,Mixco,Guatemala,MM-1726051,Magdelene Morse,LATAM,12/27/2015,MX-2015-MM1726051-42365,High,,FUR-CH-4562,"Harbour Creations Swivel Stool, Black",Central America,Consumer,12/29/2015,Second Class,Guatemala,Chairs,0,49.7,7,829.22,164.394
Technology,Gómez Palacio,Mexico,PT-1909082,Pete Takahito,LATAM,12/25/2015,MX-2015-PT1909082-42363,Medium,,TEC-CO-6011,"Sharp Wireless Fax, High-Speed",Central America,Consumer,12/29/2015,Standard Class,Durango,Copiers,0.002,277.53488,7,1649.25488,106.615
Furniture,Buenos Aires,Argentina,PB-191505,Philip Brown,LATAM,12/22/2015,US-2015-PB191505-42360,Medium,,FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",South America,Consumer,12/29/2015,Standard Class,Buenos Aires,Chairs,0.4,-168.54,5,919.26,77.438
Technology,Santo Domingo,Dominican Republic,JC-1538536,Jenna Caffey,LATAM,12/23/2015,US-2015-JC1538536-42361,Medium,,TEC-CO-4577,"Hewlett Fax Machine, High-Speed",Caribbean,Consumer,12/29/2015,Standard Class,Santo Domingo,Copiers,0.202,-214.2008,5,846.1992,37.264
Office Supplies,Praia Grande,Brazil,JC-1538518,Jenna Caffey,LATAM,12/23/2015,MX-2015-JC1538518-42361,Low,,OFF-PA-5851,"SanDisk Computer Printout Paper, 8.5 x 11",South America,Consumer,12/29/2015,Standard Class,São Paulo,Paper,0,1.32,3,67.86,11.672
Office Supplies,Petapa,Guatemala,PB-1915051,Philip Brown,LATAM,12/26/2015,MX-2015-PB1915051-42364,Medium,,OFF-AP-4499,"Hamilton Beach Microwave, Silver",Central America,Consumer,12/29/2015,First Class,Guatemala,Appliances,0,217.1,5,944.2,10.728
Office Supplies,Managua,Nicaragua,CM-1219093,Charlotte Melton,LATAM,12/23/2015,MX-2015-CM1219093-42361,Low,,OFF-EN-4905,"Jiffy Business Envelopes, Set of 50",Central America,Consumer,12/29/2015,Standard Class,Managua,Envelopes,0,6.24,2,26,4.55
